Compound,Description,Index,Input,Output,Hidden
cpd00001[e0] ,H2O[e0] ,1,0,1,1
cpd00007[e0] ,O2[e0] ,8,1,0,0
cpd00009[e0] ,Pi[e0] ,11,1,0,0
cpd00011[e0] ,CO2[e0] ,14,0,1,0
cpd00107[e0] ,L-leucine[e0] ,85,1,0,0
cpd00130[e0] ,L-malate[e0] ,99,1,0,0
cpd00048[e0] ,SO4[e0] ,42,1,0,0
cpd00067[e0] ,H+[e0] ,59,1,0,0
cpd00227[e0] ,homoserine[e0] ,124,1,0,0
cpd00528[e0] ,N2[e0],156,1,0,0
cpd00421[c0],PolyP[c0],144,0,1,0
cpd00214[c0],hexadecanoate[c0],119,0,1,0
cpd03802[c0],homospermidine[c0],217,0,1,1
cpd12836[c0],PHB[c0],231,0,1,0
cpdPG6[c0],Phosphatidylglycerol-1-palmitoleoyl-2-palmitic[c0],234,0,1,0
cpd00111[c0],oxidized_glutathione[c0],88,0,1,1
cpd00155[c0],glycogen[c0],105,0,1,0
cpd00013[e0] ,NH3[e0] ,17,0,1,0
cpd00035[e0] ,L-alanine[e0],32,0,1,0
cpd00041[e0] ,L-aspartate[e0],38,0,1,0
cpd11640[e0] ,H2[e0] ,226,0,1,0
cpd00281[e0] ,GABA[e0],133,1,0,0
cpd00051[e0] ,L-arginine[e0],44,1,0,0
cpd00023[e0] ,L-glutamate[e0] ,23,1,0,0
cpd00053[e0] ,L-glutamine[e0],46,1,0,0
cpd00076[e0] ,sucrose[e0] ,67,1,0,0
cpd00065[e0] ,L-tryptophan[e0] ,55,1,0,1
cpd00119[e0] ,L-histidine[e0] ,92,1,0,1
cpd00156[e0] ,L-valine[e0] ,107,1,0,0
cpd00322[e0] ,L-isoleucine[e0] ,137,1,0,0
cpd00066[e0] ,L-phenylalanine[e0] ,57,1,0,1
cpd00161[e0] ,L-threonine[e0] ,109,1,0,0
cpd00054[e0] ,L-serine[e0],48,1,0,0
cpd00033[e0] ,glycine[e0] ,30,1,0,0
cpd00039[e0] ,L-lysine[e0] ,36,1,0,0
cpd00060[e0] ,L-methionine[e0],51,1,0,1
cpd00069[e0] ,L-tyrosine[e0] ,61,1,0,0
cpd00084[e0] ,L-cysteine[e0] ,74,1,0,0
cpd00129[e0] ,L-proline[e0] ,97,1,0,1
cpd00036[e0],succinate[e0],34,1,0,1
cpd00121[c0],L-inositol[c0],93,1,0,1
